id;employee_id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;62962;Nayeli;O'Keefe;Immanuel75@yahoo.com;repurpose withdrawal;2021-06-08T15:23:25;71697;45464
2;15435;Lynn;Buckridge;Emmet16@yahoo.com;interfaces override;2021-06-08T01:26:43;8020;783
3;27282;Laisha;Glover;Augustine_Kshlerin71@gmail.com;Account Garden;2021-06-08T09:49:57;47489;37739
4;18713;Otilia;Hintz;Antonina_Turner@gmail.com;synergy Albania;2021-06-08T08:34:02;80529;94809
5;56135;Brando;Kulas;Brannon.Collier@yahoo.com;pink;2021-06-07T22:34:15;18581;73893
6;65341;Kaela;Kihn;Erwin_Will64@yahoo.com;Decentralized;2021-06-08T08:29:39;95498;15970
7;72993;Harold;Gerlach;Trever_Hilll65@gmail.com;Expressway infrastructures;2021-06-08T21:29:20;8893;52896
8;63673;Johann;Willms;Dejon3@yahoo.com;Uruguayo;2021-06-08T11:11:36;16398;79591
9;63761;Yasmine;Dach;Dean_Deckow@gmail.com;Shoes Concrete 1080p;2021-06-08T09:49:36;24828;43072
10;77006;Kendall;Barton;Laurence90@yahoo.com;Rustic;2021-06-08T15:54:00;65131;40375
